Active;x1;pmv1;x2;pmv2;x3;pmv3;x4;pmv4;x5;pmv5;LUMO;HOMO;GapHL;Dipole_Moment;ASA;a_aro;a_count;a_heavy;balabanJ;chi0;KierFlex;lip_acc;lip_don;logS;mr;rings;vdw_area;vdw_vol;Weight;weinerPath;weinerPol;zagreb;apol;bpol;McGowan_Volume;PetitjeanNumber;CPCM1;CPCM2;CPCM3;CPCM4;CPCM5;SMD1;SMD2;SMD3;SMD4;SMD5;mol
1;113,355362;581,044067;111,106598;1195,44263;516,986206;548,776245;-5,6240077;588,783386;79,1050339;581,944031;-0,01993;-0,32935;-8,419813272;3,3169;691,18585;12;58;29;1,411333;20,692024;5,5080447;4;1;-4,2771502;11,518824;3;418,69153;562,78778;396,50598;2638;43;146;65,937997;37,462003;3,1551;0,5;-322,3593441;-319,2946564;-319,3543533;-323,6334522;-324,6867472;-332,5258291;-328,1993123;-327,7452088;-331,6345281;-327,8500666;Fc1ccc(C(=O)CCCN2CCC(CNC(=O)C)(c3ccccc3)CC2)cc1
1;105,500031;523,019897;112,915916;1084,35217;460,759277;484,969696;-0,242206067;601,086609;69,873085;518,711609;-0,02668;-0,33378;-8,35668236;4,9939;607,37;6;47;25;2,6515281;18,982763;6,5956602;8;2;-2,57687;9,7501297;1;395,7215;467,12222;366,44199;1610;34;116;53,337446;35,080554;2,7509;0,461538462;-249,2795355;-245,6493508;-245,7207706;-250,7657367;-251,9834642;-255,4610913;-251,6933864;-251,3072825;-255,1798002;-255,3131245;S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)C)C(=O)C
1;62,5456276;314,111755;72,6439133;687,299622;272,011841;283,01062;-0,155285805;393,845306;39,9231415;312,506165;-0,01405;-0,31887;-8,294639912;5,9215;427,73581;5;27;16;1,8808812;11,543606;2,1095474;8;4;-0,74667001;5,3532133;2;225,13333;263,76324;225,20799;453;22;80;29,320723;19,519277;1,5217;0,444444444;-146,8251375;-142,1584922;-142,2487486;-148,7866052;-150,4184839;-154,8749913;-149,5922439;-149,4084146;-156,6332409;-159,4638939;O(CCO)Cn1c2N=C(N)NC(=O)c2nc1
1;98,3345108;504,93576;95,0109024;1037,04993;450,77832;480,003296;-5,32942152;499,089355;70,3227386;503,617188;-0,00389;-0,3439;-9,252216116;3,9688;591,89941;6;51;25;1,1071196;17,277811;4,971056;4;1;-5,1711402;9,8942099;4;335,55609;483,93484;363,88498;1842;35;136;58,222618;34,293382;2,7185;0,466666667;-286,7212025;-284,4661997;-284,510722;-287,6397396;-288,39038;-295,501705;-292,1664598;-291,7719825;-294,629644;-290,0304711;Clc1ccc(OCC(=O)OCCNC23CC4CC(C2)CC(C3)C4)cc1
1;103,764542;542,88446;97,1530533;1112,26575;483,576172;517,304443;-7,52660513;513,986084;73,4452515;541,879272;0,00341;-0,32452;-8,923499988;3,0687;650,92407;6;58;27;1,046612;18,269375;3,941504;6;1;-4,4340601;10,460776;5;367,38922;523,70227;369,513;2150;43;152;63,932583;42,107417;2,9102;0,466666667;-333,9093048;-331,2039252;-331,2565335;-335,0376793;-335,9726167;-346,9600767;-342,5519657;-342,1399381;-345,9397337;-342,3054687;O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(C1)CC(C2)C3
1;42,8233109;198,387787;55,5263367;459,789673;166,116516;168,985519;3,30421925;308,80014;31,1500607;200,600189;-0,00404;-0,41358;-11,14423866;2,0122;293,42108;0;13;10;2,89516;8,2071066;1,4998586;1;0;-2,1099401;2,5646746;1;121,41813;136,90302;178,51199;103;15;58;14,250379;10,427621;0,8155;0,5;-49,82608368;-49,06193656;-49,07719517;-50,13216876;-50,38001846;-49,7680363;-48,59317725;-48,3937643;-49,19572956;-45,95951042;Cl[C@@]1(F)C(F)(F)[C@@]1(F)OC
1;115,939682;594,44873;103,498199;1164,3446;536,860046;576,959351;-6,57079601;549,979004;84,2751541;596,36853;0,00665;-0,3123;-8,67913982;1,1772;623,1889;6;67;32;1,6480803;22,518297;3,9340031;5;2;-3,69766;12,221692;6;427,2937;616,86896;437,57999;2104;89;198;75,165755;44,074245;3,3809;0,454545455;-378,1270348;-375,9093007;-375,9530183;-379,0325367;-379,7734884;-385,7829486;-381,67681;-381,2245409;-386,1929974;-381,9728033;O(C)[C@H]1[C@@]2(OC)[C@H]3[C@@](O)(CCC)c4c(O)ccc5c4[C@@]41[C@@]([C@H](N(CC=C)CC4)C5)(C=C2)C3
1;129,752335;670,999512;125,177887;1379,09399;596,266968;636,200195;-7,50719881;662,43457;92,0836639;669,466675;0,01691;-0,32489;-9,30092488;2,6724;794,7688;6;70;32;1,0383956;22,390694;6,9701028;6;1;-4,8470402;12,608618;4;455,74628;633,63568;442,59998;3904;49;166;76,506134;49,929866;3,557;0,473684211;-400,4038563;-397,2657181;-397,3271065;-401,6990998;-402,7648952;-411,1345216;-407,2660319;-406,7184516;-410,3950963;-404,3288862;O(C)c1c2c(OC[C@@H](CCCNCCCCN3C(=O)CC4(CC3=O)CCCC4)C2)ccc1
1;62,9203072;327,02533;63,616188;690,430542;289,224945;305,977356;-3,64442301;337,965454;41,740551;326,278229;-0,02131;-0,36832;-9,442697316;3,0485;415,54361;6;31;18;1,8658551;12,750712;1,735195;4;1;-2,4988799;6,6374826;3;223,24083;316,33481;243,26199;526;34;100;36,814309;17,745691;1,7733;0,5;-167,4506313;-164,6747783;-164,728696;-168,6084369;-169,5667076;-172,1299968;-170,0017485;-169,755465;-172,8225418;-173,153544;O=C1[C@@]2(c3c(C(=O)CC2)cccc3)CCC(=O)N1
1;110,951187;555,106689;116,005409;1144,84473;492,721619;520,879761;-1,70805955;614,134644;72,4952698;550,622803;-0,0186;-0,33485;-8,6056685;5,216;623,65466;6;52;26;1,9712178;19,319626;6,3824916;8;4;-2,08675;10,056849;2;397,75351;493,43362;382,48499;1739;41;130;57,764618;40,413382;2,8692;0,461538462;-287,3811847;-282,6113683;-282,704671;-289,352402;-290,9769746;-292,3014092;-286,3427148;-285,9136042;-295,7459831;-298,2382562;S(=O)(=O)(NC)c1c(N)cc(OC)c(C(=O)NC[C@H]2N(CC=C)CCC2)c1
1;125,75087;650,085327;115,853989;1282,3457;584,269775;626,828064;-7,5692687;616,103821;87,7128143;652,322754;-0,0204;-0,37826;-9,737943176;3,0629;687,56824;0;71;36;1,3963302;25,725405;4,7731757;7;1;-5,0422001;12,769531;6;445,55753;649,91827;502,57898;3393;83;220;78,788755;48,087245;3,6158;0,5;-395,8592834;-391,0390786;-391,1316601;-397,9050957;-399,6157106;-402,7476366;-398,1282118;-397,6651046;-405,5419347;-405,0484207;F[C@@]12[C@@H](O)C[C@@]3(C)[C@@]4(C(=O)COC(=O)C)OC5(O[C@@H]4C[C@H]3[C@@H]1CCC=1[C@@]2(C)C=CC(=O)C=1)CCCC5
1;121,097878;618,984131;113,265038;1227,18652;555,324585;594,607361;-5,77682543;600,609497;86,0591202;622,351257;-0,01522;-0,3723;-9,716718128;6,4206;654,64325;0;68;33;1,7835972;24,396976;5,2462692;6;1;-4,3441501;12,111845;4;454,6817;618,19067;462,55798;2649;78;190;74,466755;46,171245;3,4925;0,461538462;-380,1655297;-376,5891003;-376,6587748;-381,6517248;-382,8798414;-386,1308504;-382,6668839;-382,2065998;-387,6135619;-385,2537978;F[C@@]12[C@@H](O)C[C@]3(C)[C@@](OC(=O)CC)(C(=O)COC)[C@H](C)C[C@@H]3[C@H]1CCC=1[C@@]2(C)C=CC(=O)C=1
1;70,7420502;366,16925;72,9104385;780,089966;323,741577;341,176331;-3,7129271;386,481415;47,4343262;364,929871;-0,00254;-0,32177;-8,686759068;4,0281;483,22617;12;34;18;1,848438;13,120955;2,2206187;3;3;-3,3966899;7,3021641;2;257,91592;349,26865;240,306;631;26;90;40,070688;18,449312;1,9622;0,5;-186,7875022;-184,3260375;-184,37384;-187,8159907;-188,6689704;-193,7111109;-190,2691774;-189,9840236;-192,4116755;-189,1208736;O=C(Nc1c(C)cccc1C)c1ccc(N)cc1
1;99,8308563;517,934631;97,2422028;1073,1106;460,265656;488,43045;-5,99442482;521,835327;68,5114136;517,476501;0,01247;-0,33637;-9,492494544;2,8256;642,37726;12;52;25;1,4855348;17,484917;5,0269265;3;2;-4,73737;10,262325;3;345,87854;500,22766;337,46298;1662;39;124;59,427411;31,134589;2,7988;0,461538462;-294,3791494;-291,805787;-291,8565008;-295,4303553;-296,2908048;-305,2452999;-301,4687664;-301,0589847;-303,5635108;-297,8606239;O=C(O)CCCCCCNC1c2c(cccc2)CCc2c1cccc2
1;47,1632843;240,424942;49,7258377;522,591553;208,988464;219,418182;-1,55362964;273,54071;33,4864426;240,767151;0,01552;-0,34206;-9,730323928;1,3768;344,29202;6;23;10;2,1635454;7,3973413;1,8537804;1;2;-1,43848;4,3959742;1;164,8864;216,82883;135,20999;126;9;44;25,608309;13,551691;1,2389;0,5;-132,1391244;-131,0677792;-131,0891434;-132,5691154;-132,9176778;-136,6001432;-134,3965424;-134,1882006;-135,1474268;-132,0184521;N[C@@H](Cc1ccccc1)C
1;125,438622;652,185547;123,594353;1352,16675;579,891907;615,763977;-7,84263086;649,484375;87,0451279;651,975403;-0,03033;-0,31158;-7,6532625;5,1535;795,21118;12;65;33;1,1710733;23,371668;6,208622;7;0;-5,2397399;12,728166;4;472,57635;631,78864;452,55099;3842;56;172;73,307376;47,564624;3,4867;0,5;-359,7641215;-355,9362944;-356,0108216;-361,3568368;-362,6743186;-368,9442922;-364,2292227;-363,7038197;-367,8190564;-364,93335;O(CCCN1CCN(c2c(OC)cccc2)CC1)c1c(OC)cc2OC(=O)C(C)=C(C)c2c1
1;89,8945847;457,203674;87,5689621;937,041138;406,693207;432,706696;-3,58182001;467,50531;63,210331;456,961121;0,01025;-0,34144;-9,570047604;2,3478;540,3374;6;47;22;1,6099397;15,742276;3,8132098;4;1;-2,70452;8,6117411;3;317,66296;432,49326;303,40201;1049;37;118;51,855825;32,184175;2,4229;0,454545455;-265,5635159;-263,7460318;-263,781976;-266,3022385;-266,9053543;-273,1490773;-270,4131351;-270,0450287;-272,5095466;-269,2219539;O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)[C@@](CO)(C)c1ccccc1
1;91,961937;476,690369;91,2862396;1003,2077;421,056641;446,193329;-5,54272842;484,882202;63,7582169;474,380432;-0,02456;-0,31693;-7,955855492;3,8778;606,76062;12;46;24;1,2785989;16,777811;4,1864347;4;0;-2,8900599;9,4135752;3;341,76959;456,43246;327,40298;1669;33;120;52,768446;31,491554;2,5347;0,5;-252,433334;-249,9511764;-249,9994888;-253,4673606;-254,3236858;-262,9356161;-259,0505658;-258,6733747;-260,7169255;-257,153951;Fc1ccc(C(=O)CCCN2CCN(c3ncccc3)CC2)cc1
1;52,6236076;263,389679;56,483963;568,421265;229,064789;240,832657;-0,741742253;310,157928;36,5494766;263,021515;-0,00739;-0,41458;-11,0802914;1,5521;351,67786;0;25;13;2,8266799;10,060478;1,7595699;5;2;-1,84369;4,6374755;1;199,10402;231,54413;184,19499;220;23;64;26,687516;17,312484;1,3739;0,5;-135,6948358;-133,7127959;-133,7518005;-136,5055168;-137,1691573;-138,2726722;-137,0038052;-136,7913935;-139,1014667;-139,7783584;O=C1C(CC)(CC)C(=O)NC(=O)N1
1;102,252403;527,15094;93,707016;1049,27588;472,95517;508,353516;-6,18826437;494,719971;73,9352722;528,709839;-0,0133;-0,3715;-9,74719512;6,251;560,40765;0;57;28;1,7703513;20,698307;4,2404861;5;3;-3,6207199;10,526465;4;388,68576;527,83051;408,922;1670;70;168;64,246997;34,039003;3,0179;0,5;-316,8324675;-313,9860498;-314,0415814;-318,0142097;-318,9910661;-322,9983167;-320,0292411;-319,6360677;-324,8621815;-322,5583736;Cl[C@]12[C@H](O)C[C@@]3(C)[C@](O)(C(=O)CO)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1
1;99,5845718;503,77002;99,7838745;1041,97791;446,87677;472,682556;-3,25814533;534,537048;69,9658127;503,783142;0,00313;-0,33356;-9,161873604;1,3558;608,95697;12;49;24;2,0050409;17,416002;5,1938853;4;1;-3,88428;9,7077608;2;370,22989;477,54257;327,42398;1364;38;116;55,375825;32,184175;2,6843;0,454545455;-269,6431664;-268,0885522;-268,119336;-270,2740842;-270,7888777;-278,6394512;-276,1566251;-275,7441147;-276,0009497;-270,3025403;O=C(OCCN(CC)CC)C(O)(c1ccccc1)c1ccccc1
1;90,0194778;470,912384;87,2567978;976,164856;418,666565;443,957092;-6,3978653;463,066711;59,8207054;466,893494;0,0043;-0,306;-8,44375948;3,7415;603,88062;21;44;24;1,3203733;16,192024;2,8323445;2;0;-4,2564001;9,9991779;4;322,16064;469,99313;312,41599;1421;34;126;54,25586;25,16414;2,5436;0,461538462;-239,9460914;-237,8013598;-237,8433945;-240,8293697;-241,5556312;-252,0100154;-248,3010518;-247,9409347;-247,4454248;-240,9107479;C(Cc1ccncc1)c1c2c(n(Cc3ccccc3)c1)cccc2
1;137,005081;693,403442;132,84787;1374,49854;619,456665;661,464905;-4,39239264;704,126709;94,2915878;689,900452;-0,01646;-0,3735;-9,715629664;5,4684;724,70276;0;73;36;1,7703801;26,84457;5,8080597;7;1;-4,81881;13,088925;4;495,28427;668,22784;504,595;3422;82;206;80,122341;49,315659;3,79;0,5;-405,0892031;-401,0206571;-401,0994487;-406,7956706;-408,2135526;-411,5706027;-407,9103924;-407,3922999;-413,2493252;-410,6429712;F[C@]12[C@H](O)C[C@@]3(C)[C@](OC(=O)C(C)C)(C(=O)COC(=O)C)[C@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1
